method,dataset,experiment_folder,nq,nb,nb_sample,dim,n_subquantizers,nbits,bits_per_vector,train_size,train_time_s,encoding_time_s,distance_table_time_s,cdist_time_s,adc_time_s,rel_error_mean,rel_error_std,reconstruction_error,reconstruction_error_time_s
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq8_nbits8_train1000000_20260208_230403,1000,1000000,10000,96,8,8,64,1000000,199.178347,24.600235,0.20244,4.789046,1.02208,0.183778,0.072497,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq4_nbits10_train1000000_20260208_230421,1000,1000000,10000,96,4,10,40,1000000,141.398969,28.45247,5.496881,3.700425,2.494124,0.204189,0.080517,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq48_nbits4_train1000000_20260208_230430,1000,1000000,10000,96,48,4,192,1000000,478.112199,6.286555,0.251923,3.362085,9.225484,0.057856,0.039791,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq16_nbits6_train1000000_20260208_230451,1000,1000000,10000,96,16,6,96,1000000,311.141777,9.061244,0.125939,3.231471,4.730768,0.144999,0.065855,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq6_nbits10_train1000000_20260208_230500,1000,1000000,10000,96,6,10,60,1000000,173.708201,34.54255,4.705254,3.944294,1.577831,0.17467,0.073178,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq12_nbits8_train1000000_20260208_230521,1000,1000000,10000,96,12,8,96,1000000,278.924008,23.060822,0.155938,4.161795,0.773313,0.135263,0.064229,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq8_nbits10_train1000000_20260208_230614,1000,1000000,10000,96,8,10,80,1000000,218.618709,64.040908,0.247633,6.034699,2.894988,0.146066,0.067247,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq16_nbits8_train1000000_20260208_230627,1000,1000000,10000,96,16,8,128,1000000,346.934373,22.491537,0.171233,4.301867,0.904682,0.097213,0.054571,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq24_nbits6_train1000000_20260208_230701,1000,1000000,10000,96,24,6,144,1000000,436.199316,9.692277,0.145124,5.134644,5.682376,0.087164,0.051311,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq12_nbits10_train1000000_20260208_230711,1000,1000000,10000,96,12,10,120,1000000,282.773567,61.833551,0.371141,2.807917,3.38772,0.099546,0.055766,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq16_nbits10_train1000000_20260208_230812,1000,1000000,10000,96,16,10,160,1000000,350.021801,54.368933,0.297768,3.13107,3.801996,0.066712,0.043247,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq24_nbits8_train1000000_20260208_230813,1000,1000000,10000,96,24,8,192,1000000,454.182376,21.672176,0.088941,3.637374,1.14539,0.051926,0.0356,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq32_nbits6_train1000000_20260208_230901,1000,1000000,10000,96,32,6,192,1000000,559.192694,7.971093,0.087963,3.626514,5.963386,0.054445,0.037283,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq24_nbits10_train1000000_20260208_230933,1000,1000000,10000,96,24,10,240,1000000,431.048777,52.428026,0.262434,2.888763,4.873754,0.033146,0.024564,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq32_nbits8_train1000000_20260208_230945,1000,1000000,10000,96,32,8,256,1000000,554.289019,14.469598,0.099952,2.632451,1.31427,0.030394,0.022722,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq32_nbits10_train1000000_20260208_231049,1000,1000000,10000,96,32,10,320,1000000,514.228897,46.422769,0.272231,2.008162,4.931845,0.01886,0.014518,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq48_nbits6_train1000000_20260208_231118,1000,1000000,10000,96,48,6,288,1000000,701.668732,5.928154,0.059511,1.955633,4.773051,0.025612,0.019629,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq48_nbits8_train1000000_20260208_231150,1000,1000000,10000,96,48,8,384,1000000,679.098806,13.416687,0.063614,1.640424,1.709199,0.013767,0.010915,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq48_nbits10_train1000000_20260208_231232,1000,1000000,10000,96,48,10,480,1000000,626.976589,39.776439,0.293833,1.224084,4.574178,0.007578,0.006205,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq96_nbits4_train1000000_20260208_231301,1000,1000000,10000,96,96,4,384,1000000,1001.242012,2.291738,0.023458,1.17478,3.954548,0.018239,0.014637,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq96_nbits6_train1000000_20260208_231505,1000,1000000,10000,96,96,6,576,1000000,932.104644,4.421092,0.042141,1.529648,4.251234,0.007563,0.006717,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq96_nbits8_train1000000_20260208_231516,1000,1000000,10000,96,96,8,768,1000000,890.922538,10.934884,0.098825,0.863511,1.314141,0.003224,0.003353,,
PQ,deep,/data/cpanourg/2-hdvc/results/relerr_cpp/pq/deep/subq96_nbits10_train1000000_20260208_231555,1000,1000000,10000,96,96,10,960,1000000,836.919505,33.070643,0.267077,0.782677,3.853488,0.001291,0.001813,,
