zip_path,dataset,M,K,setting_id,bits_per_vector,A,B,L,de,dh,train_size,val_size,has_codes,has_distance_file,distance_relerr_mean,distance_relerr_std,val_mse_best,train_mse_last,best_min_mse,status
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_64_K_256.zip,msmarco,64,256,0,512.0,32,64,16.0,384.0,384.0,,,True,False,,,0.22269,0.136653,0.191425,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_64_K_4096.zip,msmarco,64,4096,0,768.0,32,64,16.0,384.0,384.0,,,True,False,,,0.182899,0.00670376,1.52173,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_64_K_64.zip,msmarco,64,64,0,384.0,32,64,16.0,384.0,384.0,,,True,False,,,0.283498,0.230312,0.185071,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_8_K_1024.zip,msmarco,8,1024,0,80.0,32,64,16.0,384.0,384.0,,,True,False,,,0.490632,0.378543,0.568355,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_8_K_16.zip,msmarco,8,16,0,32.0,16,16,16.0,384.0,384.0,,,True,False,,,0.663825,0.632991,0.506541,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_8_K_256.zip,msmarco,8,256,0,64.0,32,64,16.0,384.0,384.0,,,True,False,,,0.51789,0.457186,0.452532,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_8_K_256.zip,msmarco,8,256,1,64.0,32,64,,,,,,True,False,,,0.649035,0.338809,0.716554,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_8_K_256.zip,msmarco,8,256,2,64.0,32,64,,,,,,True,False,,,0.588898,0.402731,0.606853,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_8_K_256.zip,msmarco,8,256,3,64.0,32,64,,,,,,True,False,,,0.555517,0.431438,0.542314,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_8_K_256.zip,msmarco,8,256,4,64.0,32,64,,,,,,True,False,,,0.541846,0.452723,0.511768,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_8_K_256.zip,msmarco,8,256,5,64.0,32,64,,,,,,True,False,,,0.539654,0.45311,0.489684,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_8_K_4096.zip,msmarco,8,4096,0,96.0,32,64,16.0,384.0,384.0,,,True,False,,,0.489811,0.281773,0.684644,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/msmarco_M_8_K_64.zip,msmarco,8,64,0,48.0,32,64,16.0,384.0,384.0,,,True,False,,,0.582066,0.54244,0.460316,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_128_K_1024.zip,openai,128,1024,0,1280.0,32,64,16.0,384.0,384.0,,,False,False,,,0.0474656,0.0076593,1.11669,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_128_K_16.zip,openai,128,16,0,512.0,16,16,16.0,384.0,384.0,,,False,False,,,0.0947907,0.087652,0.114796,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_128_K_256.zip,openai,128,256,0,1024.0,32,64,16.0,384.0,384.0,,,False,False,,,0.0530866,0.0263878,0.368525,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_128_K_4096.zip,openai,128,4096,0,1536.0,32,64,16.0,384.0,384.0,,,False,False,,,0.0458275,2.03321e-05,0.505998,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_128_K_64.zip,openai,128,64,0,768.0,32,64,16.0,384.0,384.0,,,False,False,,,0.0673033,0.0518034,0.0415605,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1536_K_1024.zip,openai,1536,1024,0,15360.0,32,64,16.0,384.0,384.0,,,False,False,,,0.00583459,7.27356e-09,,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1536_K_16.zip,openai,1536,16,0,6144.0,16,16,16.0,384.0,384.0,,,False,False,,,0.00223064,0.000755403,,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1536_K_256.zip,openai,1536,256,0,12288.0,32,64,16.0,384.0,384.0,,,False,False,,,0.00129539,5.64059e-08,,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1536_K_4096.zip,openai,1536,4096,0,18432.0,32,64,16.0,384.0,384.0,,,False,False,,,0.0417769,4.12409e-08,,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1536_K_64.zip,openai,1536,64,0,9216.0,32,64,16.0,384.0,384.0,,,False,False,,,0.00113404,1.52541e-05,,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1_K_1024.zip,openai,1,1024,0,10.0,32,64,16.0,384.0,384.0,,,True,False,,,0.23205,0.227036,0.30556,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1_K_16.zip,openai,1,16,0,4.0,16,16,16.0,384.0,384.0,,,True,False,,,0.279122,0.279095,0.278495,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1_K_256.zip,openai,1,256,0,8.0,32,64,16.0,384.0,384.0,,,True,False,,,0.245107,0.243353,0.244469,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1_K_4096.zip,openai,1,4096,0,12.0,32,64,16.0,384.0,384.0,,,True,False,,,0.225752,0.213575,0.301985,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1_K_64.zip,openai,1,64,0,6.0,32,64,16.0,384.0,384.0,,,True,False,,,0.26228,0.261724,0.261383,codes_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_256_K_1024.zip,openai,256,1024,0,2560.0,32,64,16.0,384.0,384.0,,,False,False,,,0.0212254,0.000599164,0.341421,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_256_K_16.zip,openai,256,16,0,1024.0,16,16,16.0,384.0,384.0,,,False,False,,,0.055641,0.0475453,0.0860089,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_256_K_256.zip,openai,256,256,0,2048.0,32,64,16.0,384.0,384.0,,,False,False,,,0.0251252,0.00674365,0.42592,logs_only
/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_256_K_4096.zip,openai,256,4096,0,3072.0,32,64,16.0,384.0,384.0,,,False,False,,,0.0416745,5.15667e-13,,logs_only
