dataset,M,K,setting_id,bits_per_vector,A,B,L,de,dh,metric_type,rel_error_mean,rel_error_std,status,zip_path
openai,128,1024,0,1280.0,32,64,16.0,384.0,384.0,mse_proxy,0.0474656,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_128_K_1024.zip
openai,128,16,0,512.0,16,16,16.0,384.0,384.0,mse_proxy,0.0947907,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_128_K_16.zip
openai,128,256,0,1024.0,32,64,16.0,384.0,384.0,mse_proxy,0.0530866,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_128_K_256.zip
openai,128,4096,0,1536.0,32,64,16.0,384.0,384.0,mse_proxy,0.0458275,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_128_K_4096.zip
openai,128,64,0,768.0,32,64,16.0,384.0,384.0,mse_proxy,0.0673033,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_128_K_64.zip
openai,1536,1024,0,15360.0,32,64,16.0,384.0,384.0,mse_proxy,0.00583459,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1536_K_1024.zip
openai,1536,16,0,6144.0,16,16,16.0,384.0,384.0,mse_proxy,0.00223064,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1536_K_16.zip
openai,1536,256,0,12288.0,32,64,16.0,384.0,384.0,mse_proxy,0.00129539,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1536_K_256.zip
openai,1536,4096,0,18432.0,32,64,16.0,384.0,384.0,mse_proxy,0.0417769,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1536_K_4096.zip
openai,1536,64,0,9216.0,32,64,16.0,384.0,384.0,mse_proxy,0.00113404,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1536_K_64.zip
openai,1,1024,0,10.0,32,64,16.0,384.0,384.0,mse_proxy,0.23205,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1_K_1024.zip
openai,1,16,0,4.0,16,16,16.0,384.0,384.0,mse_proxy,0.279122,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1_K_16.zip
openai,1,256,0,8.0,32,64,16.0,384.0,384.0,mse_proxy,0.245107,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1_K_256.zip
openai,1,4096,0,12.0,32,64,16.0,384.0,384.0,mse_proxy,0.225752,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1_K_4096.zip
openai,1,64,0,6.0,32,64,16.0,384.0,384.0,mse_proxy,0.26228,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_1_K_64.zip
openai,256,1024,0,2560.0,32,64,16.0,384.0,384.0,mse_proxy,0.0212254,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_256_K_1024.zip
openai,256,16,0,1024.0,16,16,16.0,384.0,384.0,mse_proxy,0.055641,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_256_K_16.zip
openai,256,256,0,2048.0,32,64,16.0,384.0,384.0,mse_proxy,0.0251252,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_256_K_256.zip
openai,256,4096,0,3072.0,32,64,16.0,384.0,384.0,mse_proxy,0.0416745,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_256_K_4096.zip
openai,256,64,0,1536.0,32,64,16.0,384.0,384.0,mse_proxy,0.0344373,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_256_K_64.zip
openai,2,1024,0,20.0,32,64,16.0,384.0,384.0,mse_proxy,0.209641,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_2_K_1024.zip
openai,2,16,0,8.0,16,16,16.0,384.0,384.0,mse_proxy,0.267131,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_2_K_16.zip
openai,2,256,0,16.0,32,64,16.0,384.0,384.0,mse_proxy,0.223732,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_2_K_256.zip
openai,2,4096,0,24.0,32,64,16.0,384.0,384.0,mse_proxy,0.204584,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_2_K_4096.zip
openai,2,64,0,12.0,32,64,16.0,384.0,384.0,mse_proxy,0.245367,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_2_K_64.zip
openai,32,1024,0,320.0,32,64,16.0,384.0,384.0,mse_proxy,0.11383,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_32_K_1024.zip
openai,32,16,0,128.0,16,16,16.0,384.0,384.0,mse_proxy,0.174518,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_32_K_16.zip
openai,32,256,0,256.0,32,64,16.0,384.0,384.0,mse_proxy,0.120969,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_32_K_256.zip
openai,32,4096,0,384.0,32,64,16.0,384.0,384.0,mse_proxy,0.112619,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_32_K_4096.zip
openai,32,64,0,192.0,32,64,16.0,384.0,384.0,mse_proxy,0.141529,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_32_K_64.zip
openai,4,1024,0,40.0,32,64,16.0,384.0,384.0,mse_proxy,0.188905,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_4_K_1024.zip
openai,4,16,0,16.0,16,16,16.0,384.0,384.0,mse_proxy,0.251017,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_4_K_16.zip
openai,4,256,0,32.0,32,64,16.0,384.0,384.0,mse_proxy,0.201379,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_4_K_256.zip
openai,4,4096,0,48.0,32,64,16.0,384.0,384.0,mse_proxy,0.186475,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_4_K_4096.zip
openai,4,64,0,24.0,32,64,16.0,384.0,384.0,mse_proxy,0.224859,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_4_K_64.zip
openai,512,1024,0,5120.0,32,64,16.0,384.0,384.0,mse_proxy,0.00757421,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_512_K_1024.zip
openai,512,16,0,2048.0,16,16,16.0,384.0,384.0,mse_proxy,0.0247906,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_512_K_16.zip
openai,512,256,0,4096.0,32,64,16.0,384.0,384.0,mse_proxy,0.00814158,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_512_K_256.zip
openai,512,4096,0,6144.0,32,64,16.0,384.0,384.0,mse_proxy,0.0417376,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_512_K_4096.zip
openai,512,64,0,3072.0,32,64,16.0,384.0,384.0,mse_proxy,0.0123887,,logs_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_512_K_64.zip
openai,8,1024,0,80.0,32,64,16.0,384.0,384.0,mse_proxy,0.167968,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_8_K_1024.zip
openai,8,16,0,32.0,16,16,16.0,384.0,384.0,mse_proxy,0.23127,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_8_K_16.zip
openai,8,256,0,64.0,32,64,16.0,384.0,384.0,mse_proxy,0.177764,,codes_only,/data/cpanourg/2-hdvc/results/qinco2/compressed_qinco_res/openai_M_8_K_256.zip
